Product Page,Category,Product Name,Price (£),Condition,Description,images
Course,Rods,Angling Pursuits Strike Master 6ft 2pc Rod,8.99,New,Angling Pursuits Strike Master 6ft 2pc Rod,images/strikemaster1.jpg|images/strikemaster2.jpg
Course,Rods,Angling Pursuits Carp Master 8ft 2pc 2.5lb Carp Rod,22.00,New,Angling Pursuits Carp Master 8ft 2pc 2.5lb Carp Rod,images/carpmaster1.jpg|images/carpmaster2.jpg
Course,Rods,Angling Pursuits Carp Max 10ft 2 piece,22.00,New,Angling Pursuits Carp Max 10ft 2 piece,images/carpmax1.jpg
Course,Rods,Angling Pursuits Carp Max 12ft 2 piece,28.00,New,Angling Pursuits Carp Max 12ft 2 piece,images/carpmax1.jpg
Course,Rods,Angling Pursuits Feeder Max 10ft 2pc,12.00,New,Angling Pursuits Feeder Max 10ft 2pc,images/carpmax1.jpg
Course,Rods,Angling Pursuits Float Max 10ft 3pc,12.00,New,Angling Pursuits Float Max 10ft 3pc,https://cdn.ecommercedns.uk/files/2/256242/9/32265029/rsz-8c92800cfe3c4bc2b3f8f2bb88a18ea0.jpg
Course,Reels,Angling Pursuits Camo 40,13.00,New,3BB Carp Runner Reel with 12lb Line and Spare Spool,https://cdn.ecommercedns.uk/files/2/256242/1/32045571/29221075847-ap-frl-camo40-line-image1.jpg
Course,Reels,Angling Pursuits Camo 60,13.00,New,3BB Carp Runner Reel with 12lb Line and Spare Spool,https://cdn.ecommercedns.uk/files/2/256242/6/32045576/29221075847-ap-frl-camo60-line-image2.jpg
Course,Reels,Angling Pursuits Star 20,13.00,New,1BB Reel with 8lb Line Front drag Right/Left Interchangeable Handle,https://cdn.ecommercedns.uk/files/2/256242/1/31517761/angling-pursuits-star-20.jpg
Course,Reels,NGT Profiler Big Pit V1,45.00,New,The NGT Profiler Big Pit Front drag reel comes with an impressive 9+1 ball bearing system ensuring smooth and responsive performance. The reel also features a robust and durable drag system perfect for those who like to fish for big carp. With its aluminium construction this reel is perfect for those who demand the very best.,https://cdn.ecommercedns.uk/files/2/256242/9/55003899/frl-profiler-bigpit-1000x1000.jpg
